SPEC_ID,NAME,RA,DEC,Z,Z_HELIO,Quality
99452,g2111420-480510,317.9251667,-48.08616667,0.074111,0.074021,4
99453,g2108410-551932,317.1709167,-55.32541667,0.034984,0.034901,4
99454,g2106086-544459,316.5359583,-54.74966667,0.042344,0.042261,4
99455,g2107177-550310,316.8235833,-55.05280556,0.460938,0.460821,4
99457,g2103461-552109,315.94225,-55.35255556,0.090788,0.090701,4
99458,g2104390-544907,316.1624167,-54.81852778,0.043331,0.043247,4
99459,g2103512-545036,315.9634583,-54.84330556,0.042564,0.04248,4
99460,g2104112-544207,316.0465,-54.70191667,0.043211,0.043127,4
99461,g2100407-545947,315.1696667,-54.99638889,0.03532,0.035237,4
99462,g2101012-544829,315.2549583,-54.80797222,0.078877,0.07879,4
99463,g2102105-543627,315.5439167,-54.60741667,0.138458,0.138367,4
99465,g2100302-542750,315.126,-54.46388889,0.043134,0.04305,4
99466,g2101232-543236,315.3465,-54.54322222,0.04395,0.043866,4
99467,g2055211-544528,313.8377083,-54.75780556,0.044084,0.044,4
99468,g2054360-542656,313.6501667,-54.44886111,0.00673,0.006649,4
99469,g2059301-542027,314.8755417,-54.34069444,0.043183,0.0431,4
99470,g2058428-541117,314.6782083,-54.18805556,0.044193,0.044109,4
99471,g2053433-540226,313.4303333,-54.04055556,0.049513,0.049429,4
99472,g2107077-535411,316.78225,-53.90291667,0.025262,0.02518,4
99473,g2105548-532852,316.478125,-53.48097222,0.040069,0.039986,4
99474,g2053479-533138,313.44975,-53.52733333,0.044192,0.044109,4
99475,g2108064-531831,317.0267083,-53.30855556,0.037823,0.037739,4
99476,g2052494-531557,313.20575,-53.26575,0.047092,0.047008,4
99477,g2052067-530843,313.0280833,-53.14527778,0.046879,0.046795,4
99479,g2053467-525909,313.444625,-52.98594444,0.049382,0.049298,4
99480,g2053338-524354,313.3908333,-52.73155556,0.042168,0.042084,4
99481,g2058006-530160,314.5025,-53.03319444,0.038242,0.038158,4
99482,g2058468-524828,314.6947917,-52.80766667,0.01631,0.016228,4
99483,g2110021-531857,317.508625,-53.31588889,0.038033,0.03795,4
99484,g2109499-542347,317.457875,-54.39647222,0.10838,0.10829,4
99485,g2057587-522556,314.494625,-52.43208333,0.02404,0.023958,4
99486,g2054421-520740,313.6752917,-52.12783333,0.043821,0.043737,4
99487,g2101358-523923,315.399,-52.65638889,0.024491,0.024408,4
99488,g2107480-533527,316.9500833,-53.59094444,0.076113,0.076026,4
99489,g2055418-515638,313.9240417,-51.944,0.016169,0.016087,4
99490,g2057184-515144,314.3265833,-51.86227778,0.016019,0.015937,4
99491,g2059330-513601,314.8876667,-51.60013889,0.314202,0.314096,4
99492,g2101030-513429,315.262375,-51.57463889,0.048621,0.048537,4
99493,g2106217-522421,316.5904583,-52.40594444,0.049753,0.049668,4
99494,g2103585-514937,315.99375,-51.82702778,0.048932,0.048848,4
99495,g2103200-513251,315.8331667,-51.54744444,0.046892,0.046807,4
99496,g2108459-520450,317.1914167,-52.08058333,0.034218,0.034135,4
99497,g2104514-514924,316.214,-51.82338889,0.048922,0.048838,4
99498,g2107418-520329,316.9240833,-52.05791667,0.071794,0.071708,4
99500,g2111354-515340,317.897375,-51.89441667,0.033678,0.033595,4
99501,g2109517-520429,317.46525,-52.07477778,0.070511,0.070425,4
99502,g2110508-512831,317.7115,-51.47530556,0.0264,0.026318,4
99503,g2111570-514147,317.9873333,-51.69644444,0.070884,0.070798,4
99504,g2114369-511857,318.6535417,-51.31580556,0.050349,0.050265,4
99505,g2110332-522744,317.63825,-52.46213889,0.071275,0.071189,4
99506,g2114163-514722,318.5679583,-51.78933333,0.050453,0.050369,4
99507,g2112436-530112,318.181625,-53.02008333,0.076226,0.07614,4
99508,g2115464-520650,318.9432917,-52.11388889,0.015871,0.015789,4
99509,g2116544-515242,319.226625,-51.87830556,0.075842,0.075755,4
99510,g2110342-532728,317.6424167,-53.45786111,0.138551,0.13846,4
99511,g2119076-510513,319.7817083,-51.08705556,0.051873,0.051788,4
99513,g2118041-514338,319.517125,-51.72733333,0.049963,0.049879,4
99514,g2111514-521344,317.9639583,-52.229,0.050503,0.050419,4
99516,g2117307-520833,319.37775,-52.14261111,0.057674,0.057589,4
99517,g2110178-534448,317.5739583,-53.74675,0.057305,0.05722,4
99518,g2115449-521604,318.937125,-52.26788889,0.071815,0.071729,4
99519,g2121141-514358,320.3087083,-51.73269444,0.051694,0.051609,4
99520,g2123309-513224,320.878875,-51.53997222,0.090487,0.090399,4
99523,g2122401-520536,320.667,-52.09325,0.051364,0.05128,4
99524,g2115590-530135,318.9956667,-53.02644444,0.206737,0.20664,4
99525,g2117406-523857,319.4192917,-52.64911111,0.13246,0.13237,4
99526,g2123384-522101,320.9100833,-52.35022222,0.075483,0.075397,4
99529,g2127121-522504,321.8003333,-52.41786111,0.061386,0.061301,4
99530,g2128307-523109,322.128,-52.51911111,0.051795,0.051711,4
99531,g2122202-525904,320.584,-52.98436111,0.048535,0.04845,4
99532,g2129030-524604,322.2625417,-52.76763889,0.002971,0.002891,4
99533,g2126045-525332,321.518625,-52.89225,0.061676,0.061591,4
99534,g2128476-525509,322.1983333,-52.91922222,0.062116,0.062031,4
99535,g2121240-525332,320.349875,-52.89227778,0.049455,0.04937,4
99536,g2125436-530339,321.4315,-53.06091667,0.072377,0.072291,4
99537,g2122117-532902,320.5489167,-53.48377778,0.061996,0.061911,4
99538,g2120425-530048,320.1769167,-53.01327778,0.049715,0.04963,4
99539,g2119516-530352,319.9648333,-53.06447222,0.092665,0.092577,4
99540,g2125101-535711,321.292125,-53.95311111,0.077028,0.076941,4
99541,g2128276-534112,322.115125,-53.68672222,0.084975,0.084888,4
99542,g2120009-531112,320.003875,-53.18669444,0.453717,0.4536,4
99543,g2126141-540040,321.5587083,-54.01097222,0.074325,0.074238,4
99544,g2121354-534943,320.3974167,-53.8285,0.075747,0.075661,4
99545,g2116544-534211,319.2264583,-53.703,0.084094,0.084007,4
99546,g2109034-533203,317.26425,-53.53427778,0.133687,0.133596,4
99547,g2119017-531807,319.7569167,-53.30194444,0.060322,0.060237,4
99548,g2121191-541423,320.3296667,-54.23966667,0.062433,0.062348,4
99549,g2119290-541045,319.870625,-54.17925,0.090999,0.090911,4
99551,g2113371-540026,318.404375,-54.00711111,0.035284,0.0352,4
99552,g2113307-525707,318.3777083,-52.95197222,0.038043,0.03796,4
99553,g2109202-525714,317.3341667,-52.95394444,0.033862,0.033779,4
99554,g2111076-524904,317.7817917,-52.81775,0.071265,0.071179,4
99555,g2120475-551801,320.198,-55.30030556,0.033175,0.033092,4
99556,g2115088-545649,318.7866667,-54.94686111,0.043165,0.043081,4
99557,g2116171-553039,319.0713333,-55.51094444,0.041952,0.041869,4
99558,g2115053-553056,318.7719583,-55.5155,0.078829,0.078742,4
99559,g2110478-542914,317.6989583,-54.48733333,0.139289,0.139197,4
99560,g2112023-541557,318.009375,-54.26591667,0.011952,0.01187,4
99561,g2113438-542314,318.4325,-54.38722222,0.051215,0.051131,4
99562,g2111109-550226,317.795375,-55.04066667,0.051646,0.051561,4
99563,g2109315-273250,317.3812917,-27.54733333,0.110665,0.110695,4
99564,g2110537-292616,317.723875,-29.43788889,0.122806,0.122835,4
99565,g2117327-274937,319.3862917,-27.82705556,0.037671,0.037699,4
99566,g2108320-294609,317.1333333,-29.76902778,0.019706,0.019733,4
99568,g2114470-272914,318.695625,-27.48738889,0.041481,0.041508,4
99571,g2115029-282148,318.7619167,-28.36319444,0.054564,0.054592,4
99572,g2115528-282747,318.9701667,-28.46311111,0.105217,0.105246,4
99573,g2107146-281942,316.8109167,-28.3285,0.058221,0.058249,4
99575,g2104526-290705,316.2189583,-29.11811111,0.033799,0.033826,4
99576,g2115069-274942,318.7789167,-27.8285,0.062595,0.062623,4
99577,g2103086-292614,315.785875,-29.43725,0.038025,0.038052,4
99578,g2105388-284139,316.4117917,-28.69438889,0.03363,0.033657,4
99579,g2113344-273030,318.39325,-27.50844444,0.095283,0.095312,4
99580,g2105299-283241,316.374625,-28.54491667,0.122764,0.122793,4
99581,g2109419-271513,317.4245833,-27.25363889,0.040162,0.04019,4
99582,g2113406-281409,318.41925,-28.23594444,0.086295,0.086324,4
99583,g2103444-283039,315.9351667,-28.51086111,0.039946,0.039973,4
99584,g2101493-284301,315.4545833,-28.71752778,0.075617,0.075645,4
99585,g2101280-283237,315.3664583,-28.5435,0.07356,0.073588,4
99586,g2102030-282354,315.5125417,-28.39827778,0.033535,0.033562,4
99587,g2101388-281809,315.4115833,-28.30266667,0.039615,0.039643,4
99588,g2101515-281231,315.4646667,-28.20855556,0.037705,0.037733,4
99589,g2100110-281205,315.0457083,-28.20144444,0.038494,0.038522,4
99590,g2100464-275920,315.1933333,-27.98886111,0.037595,0.037622,4
99591,g2102159-280241,315.566125,-28.04480556,0.038059,0.038086,3
99592,g2105242-275056,316.3507917,-27.84888889,0.034126,0.034154,4
99593,g2113387-274410,318.411125,-27.73622222,0.062551,0.062579,4
99594,g2101499-274314,315.4578333,-27.72052778,0.041136,0.041163,4
99595,g2101303-272945,315.3760833,-27.49586111,0.037419,0.037446,4
99596,g2111195-280824,317.8314167,-28.13986111,0.040332,0.04036,4
99597,g2105082-264916,316.2839583,-26.82133333,0.03366,0.033688,4
99598,g2112140-273921,318.0583333,-27.65588889,0.070104,0.070133,4
99599,g2112240-265746,318.1019167,-26.96444444,0.037503,0.03753,4
99600,g2101095-264207,315.2896667,-26.70202778,0.0638,0.063829,4
99601,g2103483-263116,315.9513333,-26.52111111,0.03402,0.034047,4
99602,g2103401-261146,315.917,-26.19605556,0.040511,0.040538,4
99603,g2107079-263325,316.7829583,-26.55686111,0.038148,0.038176,4
99604,g2106035-261029,316.5147083,-26.17458333,0.039838,0.039865,4
99605,g2108100-262413,317.0414583,-26.40377778,0.034682,0.034709,4
99607,g2108366-271848,317.1527083,-27.31338889,0.037742,0.037769,4
99608,g2106407-254003,316.6695,-25.66741667,0.064743,0.064771,4
99609,g2106321-253319,316.6336667,-25.55525,0.036262,0.036289,4
99610,g2106074-252057,316.53075,-25.34902778,0.036902,0.036929,4
99611,g2107091-253404,316.78775,-25.56772222,0.037019,0.037046,4
99612,g2107564-253637,316.9849583,-25.61022222,0.039272,0.0393,4
99613,g2107585-251134,316.9937083,-25.19277778,0.037699,0.037727,4
99614,g2108231-252324,317.0962917,-25.38994444,0.036869,0.036897,4
99615,g2108512-253514,317.2134583,-25.58725,0.047793,0.047821,4
99616,g2109583-250745,317.4929583,-25.12911111,0.029289,0.029317,4
99617,g2113072-271137,318.28,-27.19355556,0.040203,0.040231,4
99619,g2115113-251049,318.7972083,-25.18038889,0.034345,0.034372,4
99620,g2115421-250400,318.925375,-25.06669444,0.033832,0.033859,4
99621,g2116089-252607,319.037,-25.43533333,0.049443,0.049471,4
99622,g2111416-262142,317.9234167,-26.36155556,0.064915,0.064943,4
99623,g2106403-271957,316.6679583,-27.33236111,0.029137,0.029164,4
99624,g2115480-255401,318.9497083,-25.90036111,0.058646,0.058674,4
99625,g2114242-260556,318.6007917,-26.09877778,0.065296,0.065324,4
99627,g2116381-254347,319.158625,-25.72997222,0.060503,0.060531,4
99628,g2118544-254107,319.7265417,-25.68536111,0.071888,0.071916,4
99629,g2109201-271137,317.3335,-27.19355556,0.034372,0.034399,4
99630,g2117589-264020,319.4953333,-26.67225,0.033962,0.033989,4
99631,g2119319-261346,319.8828333,-26.22933333,0.040566,0.040594,4
99632,g2120248-260214,320.1035,-26.03708333,0.141159,0.141189,3
99633,g2115005-262917,318.752,-26.48716667,0.054195,0.054223,4
99634,g2121506-255147,320.460875,-25.86313889,0.107801,0.10783,4
99635,g2120355-261948,320.1479583,-26.33,0.033826,0.033854,4
99636,g2119363-262241,319.901375,-26.37811111,0.049327,0.049355,4
99638,g2119367-264810,319.9029167,-26.80286111,0.10856,0.108589,4
99639,g2121454-264649,320.4392917,-26.78013889,0.178951,0.178982,3
99640,g2122323-265613,320.63475,-26.93697222,0.049424,0.049452,4
99641,g2117314-270732,319.3806667,-27.12558333,0.038102,0.038129,4
99642,g2112485-263029,318.202125,-26.508,0.083783,0.083811,4
99643,g2118077-271631,319.53225,-27.2755,0.034725,0.034752,4
99644,g2114298-270636,318.6241667,-27.11,0.097303,0.097332,4
99646,g2121061-281437,320.2753333,-28.24358333,0.065213,0.065242,4
99647,g2123225-283553,320.843875,-28.59816667,0.27822,0.27822,3
99648,g2123552-284432,320.9799583,-28.74216667,0.11062,0.11065,4
99649,g2113550-265303,318.4790833,-26.88416667,0.072572,0.0726,4
99650,g2118190-281356,319.5790833,-28.23227778,0.13202,0.132049,4
99651,g2114376-263325,318.6567917,-26.55688889,0.055082,0.05511,4
99652,g2113505-270509,318.460375,-27.08588889,0.060765,0.060793,4
99654,g2114319-264612,318.63275,-26.77,0.072742,0.072771,4
99655,g2118459-292838,319.6910833,-29.47725,0.071882,0.071911,4
99658,g2116116-284322,319.04825,-28.72275,0.03456,0.034587,4
99659,g2116083-291431,319.034875,-29.24197222,0.048234,0.048261,4
99660,g2113126-292143,318.3025833,-29.36188889,0.046822,0.04685,4
99661,g2113472-271204,318.4465417,-27.20127778,0.037194,0.037221,4
99662,g2108043-594358,317.0179583,-59.73272222,0.153868,0.153782,4
99663,g2106505-592525,316.7102917,-59.42363889,0.05543,0.055351,4
99664,g2105092-594114,316.2882917,-59.68713889,0.05385,0.053771,4
99665,g2104045-595305,316.018625,-59.88472222,0.060371,0.060291,4
99666,g2103555-593550,315.9813333,-59.59716667,0.05322,0.053141,4
99667,g2103062-592209,315.7759583,-59.36902778,0.0529,0.052821,4
99668,g2100228-593152,315.094875,-59.53119444,0.05673,0.056651,4
99669,g2058317-592819,314.6319167,-59.47191667,0.046869,0.04679,4
99670,g2100107-591101,315.0447083,-59.18369444,0.048045,0.047967,4
99671,g2100232-590343,315.09675,-59.06197222,0.048595,0.048517,4
99672,g2057524-590103,314.468125,-59.0175,0.047385,0.047306,4
99673,g2113121-582547,318.3005417,-58.42980556,0.033958,0.033881,4
99674,g2112105-571641,318.0435417,-57.278,0.011015,0.010939,4
99675,g2103126-583029,315.8025,-58.50794444,0.112,0.111916,4
99676,g2104052-582235,316.0215833,-58.37636111,0.040318,0.04024,4
99677,g2058053-583541,314.5220833,-58.59480556,0.011555,0.011479,4
99678,g2109395-574906,317.4145833,-57.81841667,0.06978,0.0697,4
99679,g2101491-575645,315.4547083,-57.94583333,0.025676,0.025599,4
99680,g2107465-581813,316.9439167,-58.30372222,0.025557,0.02548,4
99682,g2058052-574910,314.52175,-57.81941667,0.053838,0.053759,4
99683,g2055394-573129,313.914,-57.52483333,0.051107,0.051028,4
99684,g2101264-571911,315.3597917,-57.31969444,0.025626,0.025549,4
99685,g2059276-571715,314.8650833,-57.28758333,0.052697,0.052618,4
99686,g2106278-574037,316.615875,-57.67686111,0.105312,0.105229,4
99687,g2054512-571601,313.7134167,-57.26702778,0.011544,0.011468,4
99688,g2052023-570408,313.00975,-57.06877778,0.011833,0.011757,4
99689,g2104313-574736,316.1305,-57.79341667,0.091311,0.091229,4
99690,g2054042-564960,313.517375,-56.83319444,0.047216,0.047137,4
99691,g2057375-570027,314.4062083,-57.00738889,0.303995,0.303897,4
99692,g2102466-570244,315.6941667,-57.04566667,0.060948,0.060868,4
99693,g2113404-565255,318.418375,-56.88186111,0.062909,0.062829,4
99694,g2059220-562110,314.8414583,-56.35263889,0.051816,0.051737,4
99695,g2105038-563136,316.2658333,-56.52675,0.066948,0.066868,4
99696,g2117203-565906,319.33475,-56.98488889,0.061329,0.06125,4
99697,g2110287-571017,317.6195417,-57.17130556,0.030537,0.030459,4
99698,g2059412-552847,314.92175,-55.47958333,0.135668,0.135583,4
99700,g2101327-552602,315.3860417,-55.43383333,0.097617,0.097617,3
99701,g2104240-553941,316.0998333,-55.66130556,0.029835,0.029757,4
99702,g2102104-550439,315.5433333,-55.07744444,0.046185,0.046107,4
99703,g2106419-554630,316.6744583,-55.77502778,0.042836,0.042758,4
99704,g2106059-550113,316.524375,-55.02030556,0.042335,0.042257,4
99705,g2106385-545625,316.6605,-54.94030556,0.053156,0.053077,4
99706,g2108032-551735,317.013125,-55.29308333,0.035222,0.035144,4
99707,g2110002-551811,317.5009167,-55.30297222,0.035175,0.035098,4
99708,g2115299-544427,318.874375,-54.74077778,0.092756,0.092674,4
99709,g2115221-550345,318.84225,-55.06255556,0.080249,0.080168,4
99710,g2115129-553136,318.8037083,-55.52669444,0.042627,0.042548,4
99711,g2116054-553049,319.0222917,-55.51352778,0.041727,0.041649,4
99712,g2117135-551455,319.3061667,-55.24869444,0.043103,0.043025,4
99713,g2118226-550400,319.59425,-55.06672222,0.062938,0.062858,4
99714,g2119241-550219,319.8503333,-55.0385,0.065488,0.065408,4
99715,g2119355-551108,319.8980833,-55.18544444,0.026866,0.026789,4
99716,g2119344-552203,319.8932083,-55.36741667,0.026682,0.026605,4
99717,g2114106-570020,318.544125,-57.00547222,0.062109,0.062029,4
99718,g2121133-552001,320.3055833,-55.33363889,0.093101,0.093019,4
99719,g2119067-555429,319.7780417,-55.90802778,0.040284,0.040206,4
99720,g2117120-555616,319.2997917,-55.93777778,0.051138,0.051059,4
99721,g2121549-555537,320.478875,-55.92683333,0.041764,0.041686,4
99722,g2117124-562418,319.3017917,-56.40486111,0.12051,0.120426,4
99723,g2124103-553309,321.04275,-55.55252778,0.034984,0.034906,4
99724,g2125078-553213,321.2822917,-55.53688889,0.080601,0.08052,4
99725,g2125253-554158,321.355375,-55.69938889,0.034597,0.03452,4
99727,g2122335-560317,320.6394167,-56.05483333,0.053739,0.05366,4
99728,g2119151-573448,319.812875,-57.57986111,0.026038,0.025961,4
99729,g2121427-561926,320.4277917,-56.32380556,0.089422,0.08934,4
99730,g2124317-561831,321.1322083,-56.30866667,0.10459,0.104507,4
99731,g2118589-565512,319.745375,-56.92,0.0678,0.06772,4
99732,g2115397-582218,318.9153333,-58.37172222,0.096163,0.096081,4
99733,g2125377-563659,321.4071667,-56.61636111,0.10004,0.099957,4
99734,g2120337-572817,320.1404583,-57.47144444,0.05565,0.055571,4
99735,g2130279-564411,322.6161667,-56.73647222,0.070558,0.070478,4
99737,g2120369-565632,320.153875,-56.94211111,0.1049,0.104817,4
99738,g2123482-571860,320.950625,-57.31658333,0.061631,0.061551,4
